norm_relative_enemy_x,norm_relative_enemy_y,norm_player_x,norm_player_y,norm_cooldown,norm_nearest_laser_relative_x,norm_nearest_laser_relative_y,laser_above,player_input
-0.008,-0.792,0.293,0.853,0.0,1.0,1.0,0,1
-0.001,-0.791,0.287,0.853,0.0,1.0,1.0,0,1
0.005,-0.789,0.28,0.853,0.0,1.0,1.0,0,1
0.012,-0.788,0.273,0.853,0.0,1.0,1.0,0,1
0.019,-0.787,0.267,0.853,0.0,1.0,1.0,0,1
0.025,-0.785,0.26,0.853,0.0,1.0,1.0,0,1
0.032,-0.784,0.253,0.853,0.0,1.0,1.0,0,1
0.039,-0.783,0.247,0.853,0.0,1.0,1.0,0,1
0.045,-0.781,0.24,0.853,0.0,1.0,1.0,0,1
0.052,-0.78,0.233,0.853,0.0,1.0,1.0,0,1
0.052,-0.767,0.233,0.853,0.0,1.0,1.0,0,0
0.052,-0.764,0.233,0.853,0.067,1.0,1.0,0,5
0.052,-0.751,0.233,0.853,0.4,1.0,1.0,0,0
0.052,-0.737,0.233,0.853,0.733,1.0,1.0,0,0
0.045,-0.736,0.24,0.853,0.767,1.0,1.0,0,2
0.039,-0.735,0.247,0.853,0.8,1.0,1.0,0,2
0.032,-0.733,0.253,0.853,0.833,1.0,1.0,0,2
0.025,-0.732,0.26,0.853,0.867,1.0,1.0,0,2
0.019,-0.731,0.267,0.853,0.9,1.0,1.0,0,2
0.012,-0.729,0.273,0.853,0.933,1.0,1.0,0,2
0.005,-0.728,0.28,0.853,0.967,1.0,1.0,0,2
-0.001,-0.727,0.287,0.853,1.0,1.0,1.0,0,2
-0.008,-0.725,0.293,0.853,0.0,1.0,1.0,0,2
-0.015,-0.724,0.3,0.853,0.0,1.0,1.0,0,2
-0.021,-0.723,0.307,0.853,0.0,1.0,1.0,0,2
-0.028,-0.721,0.313,0.853,0.0,1.0,1.0,0,2
-0.035,-0.72,0.32,0.853,0.0,1.0,1.0,0,2
-0.041,-0.719,0.327,0.853,0.0,1.0,1.0,0,2
-0.048,-0.717,0.333,0.853,0.0,1.0,1.0,0,2
-0.055,-0.716,0.34,0.853,0.0,1.0,1.0,0,2
-0.061,-0.715,0.347,0.853,0.0,1.0,1.0,0,2
-0.068,-0.713,0.353,0.853,0.0,1.0,1.0,0,2
-0.075,-0.712,0.36,0.853,0.0,0.297,-0.831,0,2
-0.081,-0.711,0.367,0.853,0.0,0.291,-0.823,0,2
-0.088,-0.709,0.373,0.853,0.0,0.284,-0.815,0,2
-0.095,-0.708,0.38,0.853,0.0,0.277,-0.807,0,2
-0.101,-0.707,0.387,0.853,0.0,0.271,-0.799,0,2
-0.108,-0.705,0.393,0.853,0.0,0.264,-0.791,0,2
